"data.closeness" "data.threatphy" "data.empathy" "data.prejudice"
"216" 1.124 5 9 NA
"217" 0.0992 8 12 24
"218" 3.1674 12 9 4
"219" 1.5456 12 7 33
"220" 0.5394 9 9 32
"221" 3.46798 8 6 18
"222" 2.1612 NA 3 26
"223" 3.145 12 7 NA
"224" 2.1116 9 12 21
"225" 1.1054 9 9 25
"226" 0.217 11 8 21
"227" 2.124 9 9 12
"228" 1.20156 12 7 34
"229" 1.4712 NA 12 35
"230" 0.4092 12 3 36
"231" 2.0744 12 7 17
"232" 0.21089 12 5 32
"233" 1.62 12 NA 0
"234" 2.06273 12 9 26
"235" 0.4464 12 8 18
"236" 1.20581 11 8 34
"237" 2.36762 12 6 36
"238" 3.07316 11 9 23
"239" 0.50968 11 6 21
"240" 3.06219 12 9 20
"241" 0.13463 12 6 20
"242" 0.28339 12 11 9
"243" 0.1922 8 10 NA
"244" 1.124 9 6 17
"245" 3.20156 9 3 20
"246" 2.1488 12 6 NA
"247" 0.9238 8 4 23
"248" 1.21661 10 6 NA
"249" 1.186 12 8 11
"250" 0.9548 6 6 NA
"251" 0.34688 9 9 17
"252" 0.79718 10 5 17
"253" 1.4135 6 6 20
"254" 1.25342 11 2 NA
"255" 1.0868 12 6 28
"256" 1.8192 10 7 25
"257" 0.63059 9 9 NA
"258" 1.116 9 9 NA
"259" 1.3073 7 5 NA
"260" 1.31486 10 4 36
"261" 3.1984 12 8 16
"262" 0.9474 8 6 19
"263" 3.64274 9 7 19
"264" 0.11572 9 10 NA
"265" 3.25629 12 9 24
"266" 1.28072 12 11 18
"267" 0.94722 9 9 22
"268" 0.20481 9 9 36
"269" 0.29163 6 5 26
"270" 1.10844 6 6 24
"271" 0.61032 11 11 24
"272" 3.186 11 9 27
"273" 3 9 9 0
"274" 2 10 9 NA
"275" 0.8432 12 8 22
"276" 0.44007 8 6 35
"277" NA 12 12 14
"278" 0.58141 8 7 NA
"279" 2.39161 12 9 36
"280" 0.49442 9 7 24
"281" 1.1054 12 11 33
"282" 2.1984 4 9 20
"283" 1.217 12 9 NA
"284" 0.32595 9 9 NA
"285" 1 10 9 NA
"286" 0.2976 12 9 NA
"287" 0.4464 12 9 25
"288" 0.3084 12 12 23
"289" 2.1116 11 7 14
"290" 1.186 10 8 29
"291" 1.1066 12 9 19
"292" 0.83075 5 4 NA
"293" 0.28801 9 9 24
"294" 1.13953 12 3 NA
"295" 2.12824 12 6 NA
"296" 0.1736 12 7 23
"297" 2.36625 12 9 26
"298" 1.3756 3 2 30
"299" 3.1426 9 7 17
"300" 3.05774 9 9 27
"301" 0.55036 3 3 18
"302" 0.142 6 12 9
"303" 1.32997 9 3 33
"304" 0.67315 6 12 14
"305" 1.20617 9 6 27
"306" 3.10015 12 9 11
"307" 1.1984 6 9 27
"308" 3.248 9 9 36
"309" 3.124 12 5 32
"310" 1.2232 9 9 19
"311" 0.54668 5 6 29
"312" 0.1488 6 6 16
"313" 0.29709 9 7 24
"314" 0.25635 9 9 22
"315" 0.77875 9 9 29
"316" 0.29961 12 0 36
"317" 0.43785 3 7 18
"318" 0.45697 3 3 13
"319" 3.05429 9 0 36
"320" 3.04539 12 3 28
"321" 1.4219 3 12 5
"322" 0.0672 6 8 18
"323" 3.0744 7 9 6
"324" 1.0992 9 5 20
"325" 0.56135 9 4 13
"326" 3.20285 12 3 32
"327" 0.0992 12 9 17
"328" 0.77197 12 3 36
"329" 1.03703 12 8 36
"330" 2.186 10 12 18
"331" 0.1488 12 3 24
"332" 1.2728 10 7 21
"333" 1.1054 9 8 36
"334" 1.32297 10 8 24
"335" 1.22862 9 9 24
"336" 0.19992 12 9 NA
"337" 2.0558 12 10 25
"338" 0.10867 6 6 NA
"339" 2.1116 12 9 28
"340" 1.14651 9 9 16
"341" 3.1984 10 8 24
"342" 3.2356 9 9 14
"343" 0.9176 9 3 10
"344" 1.1488 7 8 29
"345" 0.2294 9 6 NA
"346" 2.0372 12 4 NA
"347" 2.0868 9 5 18
"348" 3.1488 12 10 36
"349" 0.80434 8 NA NA
"350" NA 11 6 22
"351" 0.62883 NA 7 NA
"352" 2.2852 12 6 28
"353" 2.1116 4 8 26
"354" 2.13232 9 NA 31
"355" 3.124 12 4 25
"356" 0.7254 9 8 20
"357" 1.28217 10 4 17
"358" 0.50281 4 8 28
"359" 3.23779 10 9 36
"360" 2.139 9 9 25
"361" 3.1116 12 0 0
"362" 3.0866 0 7 NA
"363" 1.248 12 10 20
"364" 0.2232 9 7 NA
 
